iter	Passed	Remaining
416	2967	4148
417	2973	4139
418	2978	4130
419	2984	4121
420	2990	4112
421	2995	4103
422	3001	4094
423	3007	4085
424	3013	4077
425	3019	4068
426	3025	4059
427	3031	4051
428	3037	4043
429	3043	4034
430	3049	4025
431	3055	4017
432	3060	4008
433	3066	3999
434	3072	3990
435	3078	3981
436	3084	3973
437	3089	3964
438	3095	3955
439	3102	3948
440	3108	3940
441	3115	3933
442	3121	3924
443	3127	3916
444	3132	3907
445	3138	3898
446	3144	3889
447	3150	3881
448	3156	3873
449	3162	3864
450	3168	3856
451	3175	3849
452	3182	3842
453	3189	3835
454	3195	3828
455	3203	3821
456	3210	3814
457	3216	3806
458	3223	3799
459	3229	3791
460	3237	3784
461	3243	3777
462	3250	3769
463	3257	3763
464	3263	3755
465	3271	3748
466	3277	3741
467	3284	3733
468	3291	3726
469	3297	3718
470	3305	3712
471	3311	3704
472	3319	3698
473	3326	3690
474	3332	3683
475	3340	3677
476	3346	3669
477	3353	3662
478	3360	3654
479	3367	3648
480	3374	3640
481	3381	3633
482	3388	3627
483	3394	3618
484	3400	3610
485	3406	3602
486	3412	3594
487	3417	3586
488	3423	3577
489	3429	3569
490	3435	3561
491	3441	3553
492	3447	3544
493	3452	3536
494	3458	3527
495	3464	3519
496	3469	3511
497	3475	3503
498	3481	3495
499	3487	3487
500	3493	3479
501	3498	3470
502	3504	3462
503	3510	3454
504	3516	3446
505	3522	3438
506	3528	3430
507	3533	3422
508	3539	3414
509	3545	3405
510	3550	3397
511	3557	3390
512	3563	3382
513	3568	3374
514	3574	3366
515	3580	3358
516	3586	3350
517	3593	3343
518	3600	3336
519	3605	3328
520	3611	3320
521	3617	3312
522	3623	3304
523	3629	3296
524	3635	3289
525	3641	3281
526	3647	3273
527	3653	3265
528	3660	3259
529	3666	3251
530	3672	3243
531	3677	3235
532	3683	3227
533	3689	3219
534	3695	3212
535	3701	3203
536	3706	3195
537	3713	3188
538	3719	3181
539	3724	3173
540	3730	3164
541	3736	3157
542	3742	3149
543	3748	3141
544	3753	3133
545	3759	3126
546	3766	3118
547	3771	3110
548	3777	3102
549	3783	3095
550	3788	3087
551	3794	3079
552	3799	3071
553	3805	3063
554	3811	3056
555	3817	3048
556	3822	3040
557	3828	3032
558	3834	3024
559	3839	3017
560	3845	3009
561	3851	3001
562	3856	2993
563	3864	2987
564	3871	2980
565	3876	2972
566	3882	2965
567	3888	2957
568	3896	2951
569	3901	2943
570	3907	2935
571	3913	2928
572	3919	2920
573	3925	2913
574	3931	2905
575	3936	2897
576	3942	2890
577	3948	2882
578	3953	2874
579	3960	2867
580	3965	2859
581	3971	2852
582	3976	2844
583	3982	2836
584	3988	2829
585	3994	2821
586	3999	2814
587	4005	2806
588	4011	2798
589	4016	2791
590	4022	2783
591	4028	2776
592	4033	2768
593	4039	2760
594	4045	2753
595	4050	2745
596	4056	2738
597	4062	2731
598	4068	2723
599	4074	2716
600	4080	2708
601	4086	2701
602	4091	2693
603	4097	2686
604	4102	2678
605	4108	2671
606	4114	2664
607	4120	2656
608	4126	2649
609	4131	2641
610	4137	2634
611	4143	2626
612	4149	2619
613	4154	2612
614	4160	2604
615	4167	2597
616	4172	2590
617	4178	2583
618	4184	2575
619	4190	2568
620	4196	2560
621	4201	2553
622	4207	2546
623	4213	2539
624	4219	2531
625	4225	2524
626	4230	2516
627	4236	2509
628	4242	2502
629	4248	2494
630	4253	2487
631	4260	2480
632	4266	2473
633	4271	2465
634	4277	2458
635	4283	2451
636	4289	2444
637	4295	2436
638	4300	2429
639	4306	2422
640	4312	2415
641	4318	2408
642	4323	2400
643	4329	2393
644	4335	2386
645	4341	2378
646	4347	2371
647	4352	2364
648	4358	2357
649	4364	2350
650	4370	2342
651	4375	2335
652	4381	2328
653	4387	2321
654	4392	2313
655	4398	2306
656	4404	2299
657	4409	2291
658	4417	2285
659	4423	2278
660	4428	2271
661	4434	2264
662	4440	2257
663	4446	2249
664	4451	2242
665	4457	2235
666	4463	2228
667	4469	2221
668	4474	2214
669	4480	2206
670	4486	2199
671	4492	2192
672	4497	2185
673	4503	2178
674	4509	2171
675	4515	2164
676	4521	2157
677	4527	2150
678	4532	2142
679	4538	2135
680	4544	2128
681	4549	2121
682	4555	2114
683	4561	2107
684	4567	2100
685	4573	2093
686	4580	2086
687	4586	2079
688	4592	2072
689	4597	2065
690	4603	2058
691	4609	2051
692	4615	2044
693	4621	2037
694	4626	2030
695	4632	2023
696	4638	2016
697	4644	2009
698	4649	2002
699	4655	1995
700	4661	1988
701	4667	1981
702	4675	1975
703	4681	1968
704	4687	1961
705	4693	1954
706	4699	1947
707	4705	1940
708	4711	1933
709	4716	1926
710	4722	1919
711	4728	1912
712	4733	1905
713	4739	1898
714	4745	1891
715	4750	1884
716	4756	1877
717	4762	1870
718	4768	1863
719	4774	1856
720	4780	1849
721	4785	1842
722	4791	1835
723	4797	1828
724	4803	1821
725	4808	1814
726	4814	1808
727	4820	1801
728	4826	1794
729	4831	1787
730	4837	1780
731	4843	1773
732	4848	1766
733	4854	1759
734	4860	1752
735	4866	1745
736	4872	1738
737	4878	1731
738	4885	1725
739	4891	1718
740	4896	1711
741	4902	1704
742	4908	1697
743	4914	1691
744	4920	1684
745	4926	1677
746	4931	1670
747	4937	1663
748	4943	1656
749	4949	1649
750	4955	1642
751	4961	1636
752	4966	1629
753	4972	1622
754	4978	1615
755	4984	1608
756	4989	1601
757	4995	1594
758	5001	1588
759	5007	1581
760	5013	1574
761	5019	1567
762	5025	1560
763	5030	1554
764	5036	1547
765	5042	1540
766	5048	1533
767	5054	1526
768	5059	1519
769	5065	1513
770	5071	1506
771	5077	1499
772	5082	1492
773	5088	1485
774	5094	1479
775	5100	1472
776	5106	1465
777	5111	1458
778	5117	1451
779	5123	1445
780	5128	1438
781	5134	1431
782	5140	1424
783	5146	1417
784	5152	1411
785	5158	1404
786	5163	1397
787	5169	1390
788	5175	1383
789	5180	1377
790	5186	1370
791	5192	1363
792	5197	1356
793	5203	1350
794	5209	1343
795	5215	1336
796	5221	1329
797	5226	1323
798	5232	1316
799	5238	1309
800	5244	1302
801	5250	1296
802	5256	1289
803	5261	1282
804	5267	1275
805	5273	1269
806	5278	1262
807	5284	1255
808	5289	1248
809	5295	1242
810	5301	1235
811	5307	1228
812	5313	1222
813	5320	1215
814	5327	1209
815	5335	1203
816	5342	1196
817	5353	1191
818	5359	1184
819	5365	1177
820	5371	1171
821	5377	1164
822	5383	1157
823	5388	1151
824	5394	1144
825	5400	1137
826	5406	1130
827	5412	1124
828	5417	1117
829	5423	1110
830	5429	1104
831	5435	1097
832	5441	1090
833	5447	1084
834	5453	1077
835	5458	1070
836	5464	1064
837	5470	1057
838	5475	1050
839	5481	1044
840	5487	1037
841	5493	1030
842	5499	1024
843	5506	1017
844	5511	1011
845	5517	1004
846	5523	997
847	5529	991
848	5535	984
849	5540	977
850	5546	971
851	5552	964
852	5558	957
853	5565	951
854	5571	944
855	5577	938
856	5583	931
857	5589	925
858	5595	918
859	5600	911
860	5606	905
861	5612	898
862	5618	891
863	5624	885
864	5629	878
865	5635	872
866	5641	865
867	5651	859
868	5656	852
869	5662	846
870	5668	839
871	5674	832
872	5679	826
873	5685	819
874	5691	813
875	5697	806
876	5703	799
877	5709	793
878	5715	786
879	5721	780
880	5729	773
881	5736	767
882	5741	760
883	5747	754
884	5752	747
885	5758	740
886	5764	734
887	5770	727
888	5776	721
889	5782	714
890	5788	708
891	5793	701
892	5799	694
893	5804	688
894	5811	681
895	5817	675
896	5822	668
897	5828	662
898	5834	655
899	5840	648
900	5845	642
901	5851	635
902	5857	629
903	5863	622
904	5870	616
905	5876	609
906	5882	603
907	5887	596
908	5893	590
909	5899	583
910	5904	576
911	5910	570
912	5916	563
913	5922	557
914	5927	550
915	5933	544
916	5939	537
917	5945	531
918	5950	524
919	5956	517
920	5962	511
921	5968	504
922	5974	498
923	5979	491
924	5985	485
925	5991	478
926	5997	472
927	6002	465
928	6008	459
929	6014	452
930	6020	446
931	6025	439
932	6031	433
933	6037	426
934	6042	420
935	6048	413
936	6054	407
937	6059	400
938	6065	394
939	6071	387
940	6077	381
941	6083	374
942	6088	368
943	6094	361
944	6100	355
945	6106	348
946	6112	342
947	6118	335
948	6123	329
949	6129	322
950	6135	316
951	6141	309
952	6147	303
953	6153	296
954	6158	290
955	6164	283
956	6170	277
957	6176	270
958	6182	264
959	6188	257
960	6194	251
961	6200	244
962	6206	238
963	6212	231
964	6218	225
965	6224	219
966	6230	212
967	6236	206
968	6242	199
969	6248	193
970	6254	186
971	6260	180
972	6266	173
973	6272	167
974	6278	160
975	6285	154
976	6290	148
977	6297	141
978	6303	135
979	6309	128
980	6315	122
981	6321	115
982	6327	109
983	6333	102
984	6339	96
985	6345	90
986	6351	83
987	6358	77
988	6363	70
989	6369	64
990	6376	57
991	6385	51
992	6391	45
993	6404	38
994	6415	32
995	6424	25
996	6436	19
997	6445	12
998	6457	6
999	6465	0
